Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Date
JetsJets,64,633,9.9,5,3,1,66T,34,53.1,3,09-21-22
DolphinsDolphins,59,739,12.5,7,8,4,60,35,59.3,1,09-21-22
ChargersChargers,59,613,10.4,6,8,1,42,27,45.8,1,09-21-22
BengalsBengals,57,537,9.4,3,4,0,24,35,61.4,0,09-21-22
CommandersCommanders,57,650,11.4,7,10,2,49T,31,54.4,0,09-21-22
RamsRams,56,512,9.1,4,5,0,29,30,53.6,1,09-21-22
CardinalsCardinals,55,482,8.8,3,6,0,29,25,45.4,0,09-21-22
ChiefsChiefs,54,595,11.0,7,8,1,41,33,61.1,2,09-21-22
BillsBills,52,614,11.8,7,7,3,53,28,53.8,0,09-21-22
VikingsVikings,50,498,10.0,3,6,1,64,28,56.0,0,09-21-22
JaguarsJaguars,49,510,10.4,3,5,1,49,27,55.1,1,09-21-22
ColtsColts,48,547,11.4,1,7,0,39,26,54.2,0,09-21-22
SaintsSaints,48,505,10.5,3,8,2,51,21,43.8,3,09-21-22
RaidersRaiders,47,547,11.6,4,9,1,41T,31,66.0,3,09-21-22
SeahawksSeahawks,47,392,8.3,2,3,0,38,19,40.4,1,09-21-22
PackersPackers,45,494,11.0,2,8,1,55,23,51.1,0,09-21-22
EaglesEagles,44,576,13.1,1,6,2,54T,25,56.8,0,09-21-22
BroncosBroncos,43,559,13.0,2,9,1,67,24,55.8,0,09-21-22
TexansTexans,42,417,9.9,2,6,1,42T,18,42.9,0,09-21-22
PatriotsPatriots,42,465,11.1,2,5,2,44T,20,47.6,1,09-21-22
SteelersSteelers,42,362,8.6,2,5,0,32,19,45.2,1,09-21-22
LionsLions,41,471,11.5,6,8,1,49T,24,58.5,0,09-21-22
BrownsBrowns,40,376,9.4,2,3,0,30,22,55.0,0,09-21-22
CowboysCowboys,40,433,10.8,1,5,1,46,19,47.5,1,09-21-22
GiantsGiants,39,364,9.3,3,2,1,65,15,38.5,0,09-21-22
RavensRavens,38,531,14.0,6,6,2,75,21,55.3,0,09-21-22
FalconsFalcons,37,411,11.1,2,4,0,39,19,51.4,1,09-21-22
BuccaneersBuccaneers,36,402,11.2,2,6,2,48T,17,47.2,0,09-21-22
TitansTitans,32,389,12.2,2,7,0,31,19,59.4,0,09-21-22
PanthersPanthers,30,380,12.7,2,5,2,75T,14,46.7,1,09-21-22
49ers49ers,28,348,12.4,1,5,1,44T,13,46.4,0,09-21-22
BearsBears,15,191,12.7,2,3,1,51T,6,40.0,0,09-21-22
