,Team,Rsh TD,Rec TD,Tot TD,2-PT,Date
1,EaglesEagles,12,4,17,0,10-16-22
2,BrownsBrowns,10,5,15,0,10-16-22
3,FalconsFalcons,7,4,12,2,10-16-22
4,LionsLions,7,11,18,2,10-16-22
5,SaintsSaints,7,7,14,3,10-16-22
6,GiantsGiants,7,3,10,1,10-16-22
7,TitansTitans,6,6,12,0,10-16-22
8,VikingsVikings,6,7,13,1,10-16-22
9,JetsJets,6,7,13,0,10-16-22
10,49ers49ers,6,5,13,0,10-16-22
11,BearsBears,5,4,9,0,10-16-22
12,PatriotsPatriots,5,4,10,0,10-16-22
13,CardinalsCardinals,5,6,11,3,10-16-22
14,ChiefsChiefs,4,15,20,1,10-16-22
15,DolphinsDolphins,4,9,13,0,10-16-22
16,SteelersSteelers,4,2,7,1,10-16-22
17,ChargersChargers,4,10,14,0,10-16-22
18,SeahawksSeahawks,4,9,15,0,10-16-22
19,RavensRavens,3,12,16,0,10-16-22
20,BillsBills,3,14,18,0,10-16-22
21,PanthersPanthers,3,4,8,0,10-16-22
22,CowboysCowboys,3,4,7,0,10-16-22
23,PackersPackers,3,8,11,0,10-16-22
24,TexansTexans,3,5,8,0,10-16-22
25,JaguarsJaguars,3,8,12,1,10-16-22
26,RamsRams,3,5,8,0,10-16-22
27,RaidersRaiders,3,8,11,0,10-16-22
28,CommandersCommanders,3,10,13,2,10-16-22
29,BengalsBengals,2,9,11,2,10-16-22
30,BroncosBroncos,2,4,6,0,10-16-22
31,BuccaneersBuccaneers,2,7,10,1,10-16-22
32,ColtsColts,1,5,6,0,10-16-22
